FIPS,NAME,CLINTON,SANDERS,OMALLEY,DEM_OTHER
56029,Park,0.385,0.615,0.0,0.0
56031,Platte,0.333,0.667,0.0,0.0
56033,Sheridan,0.5,0.5,0.0,0.0
56035,Sublette,0.25,0.75,0.0,0.0
56037,Sweetwater,0.455,0.545,0.0,0.0
56039,Teton,0.4,0.6,0.0,0.0
56041,Uinta,0.444,0.556,0.0,0.0
56043,Washakie,0.667,0.333,0.0,0.0
56045,Weston,0.5,0.5,0.0,0.0
36001,Albany,0.475,0.525,0.0,0.0
36003,Allegany,0.405,0.595,0.0,0.0
36005,Bronx,0.7,0.3,0.0,0.0
36007,Broome,0.434,0.566,0.0,0.0
36009,Cattaraugus,0.421,0.579,0.0,0.0
36011,Cayuga,0.473,0.527,0.0,0.0
36013,Chautauqua,0.46,0.54,0.0,0.0
36015,Chemung,0.496,0.504,0.0,0.0
36017,Chenango,0.391,0.609,0.0,0.0
36019,Clinton,0.265,0.735,0.0,0.0
36021,Columbia,0.429,0.571,0.0,0.0
36023,Cortland,0.427,0.573,0.0,0.0
36025,Delaware,0.391,0.609,0.0,0.0
36027,Dutchess,0.485,0.515,0.0,0.0
36029,Erie,0.504,0.496,0.0,0.0
36031,Essex,0.268,0.732,0.0,0.0
36033,Franklin,0.291,0.709,0.0,0.0
36035,Fulton,0.389,0.611,0.0,0.0
36037,Genesee,0.451,0.549,0.0,0.0
36039,Greene,0.421,0.579,0.0,0.0
36041,Hamilton,0.369,0.631,0.0,0.0
36043,Herkimer,0.44,0.56,0.0,0.0
36045,Jefferson,0.491,0.509,0.0,0.0
36047,Brooklyn,0.6,0.4,0.0,0.0
36049,Lewis,0.409,0.591,0.0,0.0
36051,Livingston,0.401,0.599,0.0,0.0
36053,Madison,0.445,0.555,0.0,0.0
36055,Monroe,0.518,0.482,0.0,0.0
36057,Montgomery,0.421,0.579,0.0,0.0
36059,Nassau,0.626,0.374,0.0,0.0
36061,Manhattan,0.663,0.337,0.0,0.0
36063,Niagara,0.463,0.537,0.0,0.0
36065,Oneida,0.454,0.546,0.0,0.0
